SYSTEM_ID,DOCNUMBER,ACL_ID,ACL_NAME
2510151,593416,1,DM SUPERVISORS
2510151,593416,2193492,AOTNA-UNITA' LINEE
2510151,593416,2193501,AOTNA-Gruppo Protocollatori TERNA
2510151,593416,2193510,AOTNA-GOL TARANTO
2509287,593395,1,DM SUPERVISORS
2509287,593395,2193501,AOTNA-Gruppo Protocollatori TERNA
2509287,593395,2193505,AOTNA-GOS MADDALONI
2509287,593395,2193514,AOTNA-UNITA' PROGETTAZIONE E REALIZZAZIONE IMPIANTI
2509707,593404,1,DM SUPERVISORS
2509707,593404,2193494,AOTNA-UNITA' SUPPORTO TECNICO GESTIONALE
2509707,593404,2193501,AOTNA-Gruppo Protocollatori TERNA
2509707,593404,2193502,AOTNA-TEAM GESTIONALE
2509889,593409,1,DM SUPERVISORS
2509889,593409,2193494,AOTNA-UNITA' SUPPORTO TECNICO GESTIONALE
2509889,593409,2193501,AOTNA-Gruppo Protocollatori TERNA
2509889,593409,2193502,AOTNA-TEAM GESTIONALE
2508737,593380,1,DM SUPERVISORS
2508737,593380,2193487,AOTNA-FC Amministrazione e Controllo
2508737,593380,2193494,AOTNA-UNITA' SUPPORTO TECNICO GESTIONALE
2508737,593380,2193501,AOTNA-Gruppo Protocollatori TERNA
2508737,593380,2193503,AOTNA-TEAM TECNICO
2508499,593372,1,DM SUPERVISORS
2508499,593372,2193501,AOTNA-Gruppo Protocollatori TERNA
2508499,593372,2193514,AOTNA-UNITA' PROGETTAZIONE E REALIZZAZIONE IMPIANTI
2508499,593372,2193515,AOTNA-TEAM PROGETTAZIONE E REALIZZAZIONI STAZIONI
2508536,593374,1,DM SUPERVISORS
2508536,593374,2193492,AOTNA-UNITA' LINEE
2508536,593374,2193501,AOTNA-Gruppo Protocollatori TERNA
2508536,593374,2193509,AOTNA-GOL MONTECORVINO
2506329,593299,1,DM SUPERVISORS
2506329,593299,2193494,AOTNA-UNITA' SUPPORTO TECNICO GESTIONALE
2506329,593299,2193501,AOTNA-Gruppo Protocollatori TERNA
2506329,593299,2193502,AOTNA-TEAM GESTIONALE
2506474,593304,1,DM SUPERVISORS
2506474,593304,2193501,AOTNA-Gruppo Protocollatori TERNA
2506474,593304,2193514,AOTNA-UNITA' PROGETTAZIONE E REALIZZAZIONE IMPIANTI
2506679,593311,1,DM SUPERVISORS
2506679,593311,2193494,AOTNA-UNITA' SUPPORTO TECNICO GESTIONALE
2506679,593311,2193501,AOTNA-Gruppo Protocollatori TERNA
2506679,593311,2193502,AOTNA-TEAM GESTIONALE
2504367,593243,1,DM SUPERVISORS
2504367,593243,2193494,AOTNA-UNITA' SUPPORTO TECNICO GESTIONALE
2504367,593243,2193501,AOTNA-Gruppo Protocollatori TERNA
2504367,593243,2193502,AOTNA-TEAM GESTIONALE
2504516,593245,1,DM SUPERVISORS
